Date,Close/Last
4/14/16,4.6675
4/15/16,4.675
4/18/16,4.81
4/19/16,4.9425
4/20/16,5.1225
4/21/16,5.035
4/22/16,4.74
4/25/16,4.7775
4/26/16,4.8775
4/27/16,4.835
4/28/16,4.855
4/29/16,4.885
5/2/16,4.8775
5/3/16,4.7075
5/4/16,4.7125
5/5/16,4.6325
5/6/16,4.6375
5/9/16,4.565
5/10/16,4.6125
5/11/16,4.59
5/12/16,4.68
5/13/16,4.7475
5/16/16,4.7475
5/17/16,4.8175
5/18/16,4.8
5/19/16,4.6875
5/20/16,4.6775
5/23/16,4.62
5/24/16,4.64
5/25/16,4.66
5/26/16,4.8125
5/27/16,4.815
5/31/16,4.645
6/1/16,4.7375
6/2/16,4.855
6/3/16,4.9725
6/6/16,5.075
6/7/16,5.09
6/8/16,5.195
6/9/16,5.1025
6/10/16,4.95
6/13/16,5.0325
6/14/16,4.9775
6/15/16,4.895
6/16/16,4.8475
6/17/16,4.9475
6/20/16,4.875
6/21/16,4.725
6/22/16,4.7225
6/23/16,4.6575
6/24/16,4.65
6/27/16,4.5825
6/28/16,4.5725
6/29/16,4.445
6/30/16,4.455
7/1/16,4.3025
7/5/16,4.335
7/6/16,4.285
7/7/16,4.255
7/8/16,4.35
7/11/16,4.305
7/12/16,4.385
7/13/16,4.3975
7/14/16,4.34
7/15/16,4.2475
7/18/16,4.295
7/19/16,4.18
7/20/16,4.13
7/21/16,4.1775
7/22/16,4.2525
7/25/16,4.29
7/26/16,4.15
7/27/16,4.1475
7/28/16,4.1025
7/29/16,4.0775
8/1/16,4.06
8/2/16,4.0125
8/3/16,4.1025
8/4/16,4.0325
8/5/16,4.16
8/8/16,4.17
8/9/16,4.3675
8/10/16,4.415
8/11/16,4.37
8/12/16,4.4
8/15/16,4.3825
8/16/16,4.395
8/17/16,4.43
8/18/16,4.4425
8/19/16,4.4475
8/22/16,4.3525
8/23/16,4.275
8/24/16,4.2625
8/25/16,4.2375
8/26/16,4.075
8/29/16,3.97
8/30/16,3.9225
8/31/16,3.8825
9/1/16,3.9475
9/2/16,3.9925
9/6/16,3.985
9/7/16,4.0275
9/8/16,4.06
9/9/16,4.035
9/12/16,4.0925
9/13/16,4.01
9/14/16,4.03
9/15/16,3.995
9/16/16,4.0325
9/19/16,4.04
9/20/16,4.06
9/21/16,4.0775
9/22/16,4.055
9/23/16,4.0475
9/26/16,3.96
9/27/16,4.04
9/28/16,4.0325
9/29/16,3.99
9/30/16,4.02
10/3/16,3.955
10/4/16,3.955
10/5/16,4.05
10/6/16,3.9575
10/7/16,3.9475
10/10/16,4.0375
10/11/16,4.0725
10/12/16,3.9675
10/13/16,4.16
10/14/16,4.21
10/17/16,4.2375
10/18/16,4.2
10/19/16,4.2025
10/20/16,4.17
10/21/16,4.145
10/24/16,4.025
10/25/16,4.0425
10/26/16,4.115
10/27/16,4.145
10/28/16,4.085
10/31/16,4.1625
11/1/16,4.1425
11/2/16,4.1775
11/3/16,4.12
11/4/16,4.1425
11/7/16,4.1
11/8/16,4.1525
11/9/16,4.0675
11/10/16,4.0475
11/11/16,4.215
11/14/16,4.125
11/15/16,4.1875
11/16/16,4.1425
11/17/16,4.2
11/18/16,4.2525
11/21/16,4.27
11/22/16,4.2725
11/23/16,4.2375
11/25/16,4.195
11/28/16,4.165
11/29/16,4.0875
11/30/16,4.0275
12/1/16,3.955
12/2/16,4.0425
12/5/16,4.0825
12/6/16,4.0675
12/7/16,4.01
12/8/16,4.0825
12/9/16,4.1625
12/12/16,4.1725
12/13/16,4.175
12/14/16,4.18
12/15/16,4.0925
12/16/16,4.0925
12/19/16,4.05
12/20/16,4.0325
12/21/16,3.995
12/22/16,3.97
12/23/16,3.935
12/27/16,4.095
12/28/16,4.015
12/29/16,4.0475
12/30/16,4.08
1/3/17,4.065
1/4/17,4.185
1/5/17,4.2625
1/6/17,4.2325
1/9/17,4.2725
1/10/17,4.2675
1/11/17,4.1875
1/12/17,4.2625
1/13/17,4.26
1/17/17,4.335
1/18/17,4.31
1/19/17,4.235
1/20/17,4.2825
1/23/17,4.3325
1/24/17,4.2675
1/25/17,4.245
1/26/17,4.27
1/27/17,4.205
1/30/17,4.14
1/31/17,4.2075
2/1/17,4.3375
2/2/17,4.345
2/3/17,4.3025
2/6/17,4.225
2/7/17,4.3075
2/8/17,4.325
2/9/17,4.435
2/10/17,4.63
2/13/17,4.67
2/14/17,4.635
2/15/17,4.6825
2/16/17,4.6125
2/17/17,4.555
2/21/17,4.4975
2/22/17,4.56
2/23/17,4.535
2/24/17,4.48
2/27/17,4.3875
2/28/17,4.4375
3/1/17,4.57
3/2/17,4.5275
3/3/17,4.535
3/6/17,4.585
3/7/17,4.565
3/8/17,4.47
3/9/17,4.44
3/10/17,4.405
3/13/17,4.305
3/14/17,4.305
3/15/17,4.36
3/16/17,4.36
3/17/17,4.3625
3/20/17,4.3025
3/21/17,4.265
3/22/17,4.2225
3/23/17,4.21
3/24/17,4.2475
3/27/17,4.2075
3/28/17,4.245
3/29/17,4.255
3/30/17,4.21
3/31/17,4.265
4/3/17,4.2775
4/4/17,4.27
4/5/17,4.2975
4/6/17,4.2325
4/7/17,4.24
4/10/17,4.2875
4/11/17,4.475
4/12/17,4.4625
4/13/17,4.4275
4/17/17,4.3575
4/18/17,4.37
4/19/17,4.345
4/20/17,4.2175
4/21/17,4.21
4/24/17,4.1925
4/25/17,4.27
4/26/17,4.265
4/27/17,4.3125
4/28/17,4.3225
5/1/17,4.56
5/2/17,4.54
5/3/17,4.54
5/4/17,4.3775
5/5/17,4.4225
5/8/17,4.335
5/9/17,4.295
5/10/17,4.3175
5/11/17,4.3375
5/12/17,4.3275
5/15/17,4.2325
5/16/17,4.2425
5/17/17,4.27
5/18/17,4.2575
5/19/17,4.3525
5/22/17,4.3425
5/23/17,4.295
5/24/17,4.325
5/25/17,4.3075
5/26/17,4.3825
5/30/17,4.295
5/31/17,4.2925
6/1/17,4.29
6/2/17,4.295
6/5/17,4.295
6/6/17,4.3575
6/7/17,4.4475
6/8/17,4.4925
6/9/17,4.4575
6/12/17,4.34
6/13/17,4.45
6/14/17,4.5725
6/15/17,4.69
6/16/17,4.815
6/19/17,4.83
6/20/17,4.8775
6/21/17,4.795
6/22/17,4.7525
6/23/17,4.735
6/26/17,4.655
6/27/17,4.69
6/28/17,4.73
6/29/17,4.96
6/30/17,5.26
7/3/17,5.55
7/5/17,5.6
7/6/17,5.39
