Date,Close/Last,Volume,Open,High,Low
04/13/2026,$42.91,21236740,$42.23,$42.98,$42.09
04/10/2026,$42.62,26094790,$43.825,$43.96,$42.40
04/09/2026,$44.00,24147440,$43.22,$44.22,$42.72
04/08/2026,$43.13,29462850,$43.91,$44.30,$42.76
04/07/2026,$42.69,38252980,$43.70,$43.87,$42.36
04/06/2026,$44.03,26999580,$44.16,$44.3799,$43.56
04/02/2026,$44.19,63242570,$43.76,$44.3399,$43.17
04/01/2026,$44.63,114225700,$46.555,$46.83,$44.56
03/31/2026,$52.82,36422800,$51.93,$53.11,$51.685
03/30/2026,$51.24,16869210,$51.43,$52.185,$50.95
03/27/2026,$51.37,13077820,$51.71,$52.11,$51.20
03/26/2026,$52.07,14486700,$52.76,$53.615,$51.87
03/25/2026,$52.98,13427130,$53.76,$54.22,$52.56
03/24/2026,$53.49,12073810,$52.36,$54.08,$52.27
03/23/2026,$52.71,15242690,$53.279,$53.56,$52.53
03/20/2026,$52.37,19566100,$52.94,$53.61,$52.175
03/19/2026,$53.44,12307680,$52.895,$53.63,$52.59
03/18/2026,$53.47,16861350,$54.50,$54.9599,$53.26
03/17/2026,$55.12,9861420,$55.45,$55.68,$55.00
03/16/2026,$54.79,13115200,$54.265,$55.07,$53.98
03/13/2026,$53.98,14377100,$54.34,$54.87,$53.74
03/12/2026,$54.13,18611830,$55.28,$55.46,$54.03
03/11/2026,$55.70,20245300,$57.60,$57.60,$55.41
03/10/2026,$56.08,15706350,$56.70,$57.235,$55.80
03/09/2026,$56.53,18053120,$55.74,$56.705,$55.39
03/06/2026,$57.01,16323700,$57.47,$57.55,$56.76
03/05/2026,$58.02,22040180,$58.60,$58.7899,$57.43
03/04/2026,$58.64,15971330,$59.19,$59.49,$58.61
03/03/2026,$59.39,17438640,$59.44,$60.11,$58.62
03/02/2026,$61.01,15335010,$59.90,$61.53,$59.14
02/27/2026,$62.18,18017400,$62.72,$62.72,$61.5201
02/26/2026,$63.95,10319130,$64.21,$65.055,$63.775
02/25/2026,$63.40,9500809,$63.89,$64.22,$63.26
02/24/2026,$64.09,14296080,$63.28,$64.70,$62.60
02/23/2026,$63.09,17748810,$64.60,$64.97,$62.05
02/20/2026,$65.40,33436810,$65.30,$68.49,$63.33
02/19/2026,$65.61,10778300,$65.20,$65.835,$64.25
02/18/2026,$65.55,11211460,$64.31,$66.15,$64.31
02/17/2026,$64.82,12347500,$62.94,$64.82,$62.94
02/13/2026,$63.13,20180900,$61.59,$63.375,$61.59
02/12/2026,$61.10,13602430,$62.33,$62.7201,$60.845
02/11/2026,$62.35,15511940,$63.90,$64.005,$61.675
02/10/2026,$63.04,13003440,$63.00,$64.19,$62.29
02/09/2026,$62.41,12920800,$63.565,$63.91,$62.37
02/06/2026,$63.92,11961510,$63.01,$64.24,$63.00
02/05/2026,$62.70,12506220,$64.19,$64.58,$62.09
02/04/2026,$64.22,20957680,$61.72,$64.41,$61.505
02/03/2026,$60.93,17322110,$61.775,$62.53,$60.43
02/02/2026,$62.18,11006260,$61.66,$62.565,$61.15
01/30/2026,$61.81,14309230,$62.24,$62.52,$61.015
01/29/2026,$62.60,12739410,$61.93,$62.94,$61.46
01/28/2026,$62.24,10363630,$63.05,$63.48,$61.97
01/27/2026,$63.09,13536680,$64.75,$64.83,$62.88
01/26/2026,$64.99,14765930,$64.81,$65.635,$64.775
01/23/2026,$65.04,11243940,$65.25,$65.45,$64.4401
01/22/2026,$65.46,11853720,$65.41,$66.55,$65.25
01/21/2026,$65.41,17166440,$63.88,$65.42,$63.61
01/20/2026,$63.63,20406030,$63.49,$64.58,$63.015
01/16/2026,$64.38,15902990,$64.39,$64.59,$63.6801
01/15/2026,$64.59,13295270,$65.76,$65.76,$64.21
01/14/2026,$65.57,15939100,$66.29,$67.13,$65.039
01/13/2026,$66.30,13685220,$66.25,$67.08,$65.85
01/12/2026,$65.64,13901080,$65.25,$66.34,$64.24
01/09/2026,$65.92,18470390,$65.11,$66.54,$64.40
01/08/2026,$65.26,21573900,$62.175,$65.735,$61.70
01/07/2026,$63.22,18284110,$65.52,$65.6124,$63.19
01/06/2026,$65.35,19973190,$64.06,$65.425,$63.41
01/05/2026,$64.53,23482540,$63.735,$65.37,$63.39
01/02/2026,$63.28,22284070,$64.00,$64.13,$62.55
12/31/2025,$63.71,35457430,$62.25,$64.20,$61.9187
12/30/2025,$61.19,13507850,$61.30,$61.30,$60.64
12/29/2025,$61.21,18062100,$60.54,$61.75,$60.51
12/26/2025,$60.93,22303560,$60.00,$60.93,$59.86
12/24/2025,$60.00,36073250,$58.8801,$60.58,$58.8801
12/23/2025,$57.34,23276740,$57.18,$57.5954,$56.99
12/22/2025,$57.22,38695930,$58.99,$59.08,$57.14
12/19/2025,$58.71,108652700,$59.20,$60.38,$58.22
12/18/2025,$65.63,35650020,$66.01,$67.00,$65.40
12/17/2025,$65.69,13205490,$66.56,$66.83,$65.6205
12/16/2025,$67.12,16376670,$67.29,$68.20,$66.74
12/15/2025,$67.78,15287490,$67.405,$68.35,$66.69
12/12/2025,$67.47,14829230,$68.17,$69.1364,$67.12
12/11/2025,$67.74,16153540,$65.83,$67.815,$65.56
12/10/2025,$65.79,20302070,$63.98,$66.15,$63.764
12/09/2025,$63.33,9300188,$63.51,$63.95,$62.972
12/08/2025,$63.54,12867330,$65.60,$65.80,$63.265
12/05/2025,$65.86,10917940,$65.70,$66.08,$64.88
12/04/2025,$65.69,10619500,$65.60,$66.10,$65.01
12/03/2025,$65.65,12028290,$65.08,$66.655,$64.98
12/02/2025,$64.93,9051181,$65.45,$65.47,$64.58
12/01/2025,$65.39,12047280,$63.77,$65.99,$63.58
11/28/2025,$64.63,4941353,$64.47,$64.78,$63.97
11/26/2025,$64.33,13790960,$63.50,$64.865,$62.97
11/25/2025,$63.68,11527160,$62.34,$64.12,$61.87
